delta1,delta2,n,criterion,replicates,seed,stabilization_count,switch_replicates,clipped_geometry_replicates,max_score_identity_error,limit_fa,limit_akaike,limit_gap,limit_ablation_gap,risk_fa,risk_fa_mcse,risk_akaike_limit,risk_akaike_limit_mcse,risk_wide,risk_wide_mcse,risk_ablation,risk_ablation_mcse,fa_minus_akaike,fa_minus_akaike_mcse,fa_minus_ablation,fa_minus_ablation_mcse,reported_scaled_sure,reported_scaled_sure_mcse,w1,w1_mcse,w2,w2_mcse,chi,chi_mcse,kappa,kappa_mcse,common_risk_hat,common_risk_hat_mcse
0.0,0.0,250,logrss,5000,20260909,0,0,0,1.3988810110276972e-14,9.405423690964591,9.36875421508993,0.03666947587465974,-0.004548529339388985,9.538681412582244,0.095351835834114,9.497493653731631,0.09511683096065456,10.65500074145846,0.0992575989328806,9.543300616688878,0.09532948230963459,0.04118775885061486,0.0020290405537215653,-0.004619204106631857,0.00038916201848465453,9.314201307602024,0.019467264066220402,0.035223205631921176,0.014369019713100777,-0.007979096692399492,0.014498953474614806,0.4404874715269776,0.0006161034874321963,0.7452258314556736,0.0007977143181871014,8.610385153455884,0.00878743262781107
0.0,0.0,1000,logrss,5000,20260909,0,0,0,3.660960423701454e-14,9.405423690964591,9.36875421508993,0.03666947587465974,-0.004548529339388985,9.455181780694737,0.09520773950976885,9.420777593622141,0.0950010025636835,10.500221585038384,0.09870357089589554,9.460236306593393,0.09519663776799658,0.03440418707259375,0.0017302848135521073,-0.0050545258986543305,0.00031048173641285456,9.347196542040193,0.017750098822165116,0.0047626030567545444,0.013995981906932183,-0.010941852374037208,0.013978479690119675,0.43892391118480006,0.00029779745117852323,0.7309186014176806,0.0003670205036010115,8.705123372596733,0.004453688779634814
0.0,0.0,4000,logrss,5000,20260909,0,0,0,6.750155989720952e-14,9.405423690964591,9.36875421508993,0.03666947587465974,-0.004548529339388985,9.361591285264698,0.09490714614342172,9.322999518127633,0.09471217438351216,10.431538039690643,0.09823926702804113,9.365960675248672,0.09488706054268645,0.03859176713706587,0.0019150559152263467,-0.004369389983973469,0.00034849760223744293,9.399643360870469,0.0176661631332071,0.00509958272257653,0.014122197539832536,0.008742773449099994,0.014325085572828303,0.437899019653959,0.00014943362454142075,0.7279667220359681,0.00018412884626112924,8.729524030387928,0.002194139470326339
0.0,1.0,250,logrss,5000,20260909,0,0,0,1.432187701766452e-14,9.774700824223057,9.746476371644059,0.028224452578996972,0.0031604517281280664,9.962775841483438,0.10250733674242518,9.933621706719386,0.10240242893980242,10.68751985424527,0.1047399850710031,9.95931746803119,0.1024706076506867,0.029154134764050196,0.0017975297758731409,0.003458373452247062,0.00041108474949617696,9.674239867633727,0.020943625179736185,0.007023811305030341,0.014257598818100174,1.0091109151309723,0.014295622257750653,0.43938217492420734,0.0006055706739249359,0.7447777800226913,0.0007822047273672202,8.615265498178424,0.00884547806374557
0.0,1.0,1000,logrss,5000,20260909,0,0,0,2.453592884421596e-14,9.774700824223057,9.746476371644059,0.028224452578996972,0.0031604517281280664,9.7426180616173,0.0958432339219237,9.711715507160976,0.09573376336673778,10.440783834593015,0.0979365508708722,9.739195462244576,0.09581470188073557,0.030902554456325334,0.001780325331032652,0.0034225993727247015,0.0003738970884373755,9.770883752617205,0.01956880903569927,-0.001851771106108731,0.014147007931897253,1.0212997735995242,0.014347285130259051,0.43821350432299894,0.0002939103065600672,0.73146980236231,0.0003680990295220894,8.717299440233203,0.004395712466583066
0.0,1.0,4000,logrss,5000,20260909,0,0,0,6.039613253960852e-14,9.774700824223057,9.746476371644059,0.028224452578996972,0.0031604517281280664,9.600527580922403,0.09525048806487998,9.571693086325837,0.09514108047213396,10.298342047894687,0.09757436250346083,9.59741852668655,0.09523065547008562,0.02883449459656579,0.0016282760738167217,0.0031090542358517895,0.0003769891124700655,9.786615109797257,0.0192958524693666,-0.009295531400553022,0.01413391192311474,1.005301629372804,0.014313902023943208,0.43804127758447686,0.00014850715228425116,0.7282568277537573,0.00018396150834008946,8.734033687034584,0.0022193549473153986
1.0,1.0,250,logrss,5000,20260909,0,0,0,1.199040866595169e-14,10.435927126203502,10.449053292609726,-0.01312616640622366,0.013416990388854133,10.782458472099895,0.10148653126785369,10.793578080633274,0.10143685969480834,10.818054640442545,0.10373490735908464,10.768572044403225,0.1014719277815852,-0.011119608533378305,0.0019415352005037734,0.0138864276966697,0.0003865994483816101,10.272587802027065,0.02217672444868689,1.008766065171292,0.014447378992031556,0.9777158320151695,0.014359864465751314,0.44035327165444177,0.0006113453477126971,0.7440058804631798,0.0007838885165798389,8.620551926067717,0.0089133223514517
1.0,1.0,1000,logrss,5000,20260909,0,0,0,2.6645352591003757e-14,10.435927126203502,10.449053292609726,-0.01312616640622366,0.013416990388854133,10.371203805537805,0.09723967054396472,10.382412260019988,0.0972060870227686,10.413711925875276,0.0997605797142565,10.357328364200152,0.09724142011622655,-0.011208454482184329,0.0017915979000643224,0.013875441337654127,0.00035424880068800064,10.405950892455094,0.020244918936267814,1.006236128023271,0.014346492740815748,1.0035842033528317,0.014349459333535491,0.4389397449413153,0.00029946767035641283,0.7315281608120302,0.0003700437863273644,8.705147872943932,0.004353245481457097
1.0,1.0,4000,logrss,5000,20260909,0,0,0,5.3290705182007514e-14,10.435927126203502,10.449053292609726,-0.01312616640622366,0.013416990388854133,10.512523377938821,0.09595213392830118,10.523650497001528,0.09590261295321069,10.554006651243375,0.09799412715246388,10.499416928176244,0.09594522691731991,-0.011127119062705726,0.0017800436377337424,0.013106449762577887,0.00033617851803214086,10.401332524027762,0.020303989090251787,0.9923448467991315,0.014269131731125597,0.9748301267461799,0.014196735594775444,0.4381276961757014,0.00014754095150681107,0.7278811945920094,0.0001800757831476952,8.730162715589959,0.002200671816763694
2.0,3.0,250,logrss,5000,20260909,0,0,0,1.687538997430238e-14,11.179921319398545,11.323633731799053,-0.1437124124005078,-0.014999967694094174,11.627131286492016,0.1073344277263809,11.789394351489065,0.10814551830185748,10.862222866902023,0.10320959899084636,11.642499898010252,0.10729900622988008,-0.16226306499705007,0.004082608900573814,-0.015368611518236883,0.000694169258702627,11.080938231539722,0.014558234489149774,2.027191335152252,0.014247068625184472,2.9844022133998522,0.014890303735077087,0.4378851898019964,0.0006225531654761354,0.7412615973633357,0.0007916566575188243,8.62842974048709,0.00876089382567611
