delta1,delta2,chi,kappa,order,temperature,fa_risk,fa_sure,frozen_sure,correction,naive_weighted_candidate_sure,ablation_risk,ablation_sure,oracle_risk,soft_oracle,soft_oracle_bound,akaike_limit_risk,wide_risk,hard_aic_risk,hard_integration_error_estimate,candidate_unbiasedness_error,gradient_cost,oracle_bound,upper_risk_score,smooth_quadrature_change
0.0,1.0,0.0,0.5,1024,2.0,0.6031596105798166,0.6031596105798105,0.5105008759809813,0.09265873459882934,0.5569576253617887,0.6031596105798166,0.6031596105798105,0.40328513691071605,0.6177487270282782,0.68141861215538,0.5830624978771703,1.2499999999999516,0.8733839694880289,7.07394254122898e-12,1.2434497875801753e-14,0.06366988512710176,5.072125208025909,0.6559265933664735,5.773159728050814e-15
0.0,0.0,0.6,0.5,1024,2.0,0.6215998517282155,0.6215998517282053,0.4359432509583584,0.18565660076984714,0.4972625926200541,0.6288205487539068,0.6288205487538971,0.28874419565952736,0.6154504429523104,0.8168926047641003,0.574473534668581,1.6099999999999421,0.9264149702956519,1.300456285181235e-10,3.730349362740526e-14,0.20144216181178987,5.095356543459409,0.7669381203742263,7.882583474838611e-15
0.0,1.0,0.6,0.5,1024,2.0,0.9858003652596727,0.9858003652596715,0.7519858484063684,0.23381451685330323,0.8293666003468794,0.9773771000425466,0.977377100042546,0.7735491600313015,0.9869696257857394,1.2716124264657458,0.9522921536440847,1.6099999999999421,1.4430966066069566,1.4831276086556362e-11,3.730349362740526e-14,0.28464280068000636,5.6633621466993995,1.1962905802790482,4.884981308350689e-15
1.0,1.0,0.6,0.5,1024,2.0,1.6995907147899014,1.6995907147899214,1.413827441408143,0.28576327338177854,1.522884611221039,1.6727541891546875,1.6727541891547073,1.6099999999999424,1.7472792475350838,2.1397298279669315,1.7192093780027735,1.6099999999999424,2.2304384504363295,1.2115462799895109e-11,4.6629367034256575e-14,0.3924505804318476,6.607620766419882,2.0282918071465867,2.886579864025407e-15
2.0,3.0,0.6,0.5,1024,2.0,2.215012672024395,2.2150126720244305,2.1856947773769724,0.029317894647458737,2.2333504556194477,2.242369509779925,2.2423695097799623,1.6099999999999421,2.3920762261290136,2.6816702122257703,2.350708756372344,1.6099999999999421,1.945494104247144,5.017138198356584e-11,1.0169642905566434e-13,0.28959398609675674,6.5047641720847915,2.6235157196126107,1.0658141036401503e-14
0.0,1.0,1.2,0.5,1024,2.0,2.1934123204747316,2.1934123204747404,1.1791480077584335,1.0142643127163082,1.3346839127828996,2.0663098253706,2.0663098253706127,1.8938100081643592,2.0835854008345995,6.174906786348836,2.0386118906520765,2.6899999999998925,2.814155196296533,5.995600478573589e-11,7.149836278586008e-14,4.091321385514236,10.590301579666686,5.782990432664632,2.984279490192421e-13
0.0,0.0,0.43797160408941516,0.7269671694643086,1024,2.0,0.6664784576988698,0.6664784576988585,0.5081003447573793,0.15837811294147885,0.5687113544464728,0.6710269870382588,0.671026987038247,0.3231141700026816,0.6726556339448102,0.8109592624216787,0.6298089818242101,1.7203003914675388,0.9858906440858292,1.4837204616746122e-10,3.019806626980426e-14,0.1383036284768685,5.066587984467642,0.7691064825111853,8.43769498715119e-15
0.0,1.0,0.43797160408941516,0.7269671694643086,1024,2.0,1.0357555909573355,1.0357555909573328,0.8415130217295277,0.19424256922780536,0.9174893953783226,1.0325951392292074,1.0325951392292056,0.8271276240636232,1.0471315695417864,1.226019042092274,1.0075311383783385,1.7203003914675392,1.5271653051390168,1.7995968432661157e-11,2.9753977059954195e-14,0.17888747255048754,5.611185282602202,1.1654092494598638,5.773159728050814e-15
1.0,1.0,0.43797160408941516,0.7269671694643086,1024,2.0,1.6969818929377816,1.6969818929378007,1.4446664035979946,0.25231548933980597,1.550977645677437,1.6835649025489274,1.683564902548946,1.6588005878811287,1.7430678596742242,2.005655027584464,1.7101080593440052,1.720300391467539,2.317609691937096,1.726858768733275e-11,5.773159728050814e-14,0.26258716791024,6.526557941779461,1.9096625470386375,3.1086244689504383e-15
2.0,3.0,0.43797160408941516,0.7269671694643086,1024,2.0,2.4409760861328245,2.440976086132865,2.3949855684757524,0.04599051765711211,2.4523974603134833,2.4559760538269186,2.45597605382696,1.720300391467539,2.6158532372965757,2.8424513433887775,2.5846884985333323,1.720300391467539,2.1604274312296425,7.783375661435833e-11,1.0302869668521453e-13,0.22659810609220177,6.552068683547833,2.788761842631316,1.1546319456101628e-14
